"Пираты Карибского моря: Проклятие черной жемчужины, 2003","приключения, боевик","
XVIII век. На морских просторах Атлантики разворачиваются захватывающие и невероятные события. Команда пиратов-мертвецов под командованием капитана Барбоссы нападает на английский порт и похищает дочь губернатора, Элизабет. Другой джентльмен удачи, Джек Воробей, мечтает забрать у Барбоссы свой корабль, быструю как ветер «Черную жемчужину». Вместе с другом Элизабет, Уиллом Тернером, они отправляются в погоню за Барбоссой. Вслед за ними отплывает амбициозный командор Джеймс Норрингтон, который преследует свои собственные цели и является женихом Элизабет. 
",https://www.kinoafisha.info/movies/5371/
"FORD против FERRARI, 2019","биография, драма, спорт","
Фильм в жанре биографическая драма о реальном противостоянии двух великих команд Форда и Феррари снял режиссер Джеймс Мэнголд. Его особенно хорошо знают по фильмам «Логан» и «Росомаха бессмертный», а также «Прерванная жизнь» и «Переступить черту». Главные роли в фильме исполнили оскароносные Кристиан Бейл и Мэтт Деймон. Также в ленте можно увидеть Катрину Балф, Трейси Леттс, Джона Бернтала и др.
 Фильм рассказывает о подлинной истории борьбы между командами Форд и Феррари за победу в гонке 24 часа Ле-Мана 1966. Противостояние сконцентрируется вокруг инженеров и конструкторов двух самых знаменитых марок автомобилей. Работники «Форда» пытаются придумать совершенно новый автомобиль, чтобы превзойти чемпионов «Феррари».
",https://www.kinoafisha.info/movies/8354457/
"Как приручить дракона 3, 2018","анимация, семейный, комедия, приключения","
Анимационный фильм от создателя мультвселенной Дина Деблуа. Персонажи в оригинальной версии разговаривают голосами Джея Барушеля («Малышка на миллион»), Кейт Бланшет («Загадочная история Бенджамина Баттона», «Елизавета»), Кита Хартингтона («Игра престолов») и ТиДжея Миллера («Дэдпул»).
Действие истории о мальчике и его драконе происходит через несколько лет после событий предыдущей части. Иккинг повзрослел и стал главой собственного племени, а Беззубик – вожаком стаи. Все меняется, но одно остается неизменным: их дружба. Вместе Иккинг и Беззубик попытаются основать общество, в котором будет место и для человека, и для дракона. Им также придется объединить усилия в борьбе против жестокого охотника на драконов, которому идея «драконьей утопии» пришлась совсем не по нраву.
",https://www.kinoafisha.info/movies/8168520/
"Аватар, 2009","боевик, фантастика, триллер","
Главный герой, морской пехотинец с параличом нижних конечностей по имени Джейк Салли, участвует в исследовательской миссии на далекую планету Пандора. Там он узнает о намерениях предпринимателя Паркера Селфриджа изгнать местный народ На'ви из зеленой части планеты, чтобы добыть драгоценный материал, находящийся под их богатыми лесами. В обмен на операцию на позвоночнике, которая вновь поставит его на ноги, Джейк соглашается шпионить за На'ви в теле одного из них. Но долгое нахождение вместе с инопланетянами полностью меняет его мировоззрение… 
Культовый научно-фантастический блокбастер, над которым сценарист и режиссер Джеймс Кэмерон работал более 10 лет, стал символом начала новой эпохи трехмерного кино и на протяжении целого десятилетия удерживал статус самого кассового фильма в истории человечества.
",https://www.kinoafisha.info/movies/3430393/
"Ночь в магазине ужастиков, 2022","приключения, семейный, фэнтези","
Для Дэвида Поага фильм стал первым режиссерским опытом. До этого он работал оператором и монтажером, занимаясь по большей части короткометражными картинами. Написанием сценария занималась еще одна дебютантка Билли Бейтс.
В качестве основной локации команда использовала торговый центр Martha Berry в американском городе Рим, который находится в штате Джорджия. Некоторые фрагменты снимались в одном из магазинов известной сети Spirit Halloween.
Премьера трейлера фильма состоялась 30 июля 2022 года на открытии флагманского магазина Spirit Halloween в городке Эгг-Харбор, штат Нью-Джерси.
Нур Ахмед, президент студии Strike Back Studios, заявил, что одна из причин, по которой он сразу же заинтересовался фильмом, заключается в том, что он вдохновлен его любимыми детскими приключенческими картинами, такими как «Балбесы», «Гремлины», «Отряд монстров» и другими.
",https://www.kinoafisha.info/movies/8367903/
"Аватар: Специальная версия, 2010","боевик, триллер, фантастика","
Фантастический блокбастер обрёл новую жизнь и возвращается на 3D-экраны в специальной режиссерской версии. В картину вошел дополнительный 8-минутный эпизод, который представит новых обитателей планеты Пандора.
",https://www.kinoafisha.info/movies/8097574/
"Зверопой 2, 2021","анимация, мюзикл","
Анимационная франшиза «Зверопой» возвращается с грандиозными мечтами и захватывающими хитами. Коала по имени Бастер Мун и его звездные артисты готовятся к запуску своего самого лучшего шоу. Есть только одна загвоздка: для начала они должны убедить одну из самых скрытных и замкнутых рок-звезд во всем мире присоединиться к ним.
Бастер и его артисты превратили театр в место силы для всех горожан, но главным призом для музыкантов станет их выступление с новым шоу в Театре Кристальной башни, что находится в самом центре города.
Однако без какой-либо помощи Бастер и его команда, в том числе: горилла Джонни, свинка Розита, слониха Мина, дикобраз Эш и эпатажный Гюнтер, находят лишь один выход – проникнуть в офис к беспощадному Джимми Кристаллу, волку-магнату, который держит в страхе весь город.
Пытаясь привлечь внимание потенциального спонсора в лице мистера Кристалла, Бастер обещает, что в их новом шоу появится легенда рок-сцены Клей Кэллоуэй. Но есть небольшая проблема: Бастер не знаком с Клеем и даже никогда не видел рок-легенду. Дело в том, что после потери жены более 10 лет назад певец ушел из мира шоу-бизнеса назад и закрылся в себе.
И пока Бастер совместно со своими артистами пытается найти выход из сложившейся ситуации, мистер Кристалл не дремлет и лишь усиливает свое давление и угрозы. Поэтому Бастер будет вынужден отыскать затворника Клея и сделать практически невозможное – попытаться уговорить его вернуться на сцену после стольких лет. Мечты Бастера о новом умопомрачительном шоу и его попутные приключения постепенно приводят зрителей к главной мысли, что музыка способна залечить даже разбитое на сотни осколков сердце и вернуть в жизнь позитивные эмоции.
",https://www.kinoafisha.info/movies/8329113/
"Брат, 1997","боевик, драма","
Отслужив в армии, провинциал Данила Багров приезжает в Санкт-Петербург к своему брату Виктору, который, по словам матери, сумел сделать отличную карьеру. Но на самом деле Виктор зарабатывает большие деньги, работая киллером. Приезд Данилы совпадает с очередным, очень рискованным заказом, и Виктор, не желая подставляться под удар, решает переложить всю грязную работу на удачно подвернувшегося младшего брата.
",https://www.kinoafisha.info/movies/8098609/
"А зори здесь тихие, 1972","исторический, драма, военный","
1942 год. СССР ожесточенно сопротивляется натиску нацистской Германии. В тылу советских войск в Карелии расквартированы два отделения взвода зенитчиков. Командующий ими старшина Васков получает долгожданное и “непьющее”, как он и просил, подкрепление — молодых девушек-добровольцев.
Спустя некоторое время одна из вновь прибывших, Рита Осянина, возвращаясь из самовольной отлучки замечает в лесу пару вражеских диверсантов и докладывает о них Васкову. Бывший разведчик и ветеран советско-финской войны Васков понимает, что цель немцев — находящаяся неподалеку железная дорога, допускать разрушение которой никак нельзя. Получив от командования приказ обезвредить гитлеровцев, Васков собирает отряд, в который помимо него входят еще пять девушек, и они отправляются на перехват.
Отряд устраивает засаду, но обнаруживает, что им противостоит отнюдь не двое фашистов: Васкову и его пятерым необстрелянным девчатам предстоит сразиться против шестнадцати тяжеловооруженных солдат противника. Но приказы не обсуждаются — Васков и девчата вступают с врагами в неравный бой.
",https://www.kinoafisha.info/movies/7714889/
"Начало, 2010","боевик, фантастика, триллер","
Главный герой фильма, Дом Кобб, владеет редкой профессией: он «извлекатель». Кобб зарабатывает на том, что проникает в сны других людей и извлекает из их подсознания информацию, полезную для своих заказчиков, будь это банковские пароли, промышленные тайны или сами идеи, обладающие финансовой ценностью. Очередное задание идет наперекосяк: таинственный бизнесмен Сайто, очередная цель Кобба, объявляет, что он сам заказал себя, чтобы проверить, справится ли герой с невыполнимой задачей.
Сайто грезит мыслью совершить не извлечение, а «внедрение» — внушить сыну умирающего конкурента разделить компанию своего отца. За выполнение этой почти невозможной задачи Сайто предлагает Коббу возможность легально вернуться к детям, сняв с того ложные обвинения в убийстве.
Герой соглашается и начинает собирать свою идеальную команду, пока не подозревая, что главная опасность исходит из его собственного подсознания: его возвращения в мир сновидений ожидает его самый старый и опасный враг.
",https://www.kinoafisha.info/movies/7794008/
"Форрест Гамп, 1994","комедия, мелодрама, драма","
Форрест Гамп – простой парень с очень низким интеллектом, но очень добрым нравом. Он переживает счастливое детство со своей лучшей и единственной подругой Дженни. Когда мать Форреста предоставляет ему самому выбирать свою судьбу, отправляется во Вьетнам. Там герой находит новых друзей по имени Дэн и Бубба, выигрывает медали, создает знаменитый флот для ловли креветок, вдохновляет людей на бег трусцой, увлекается пинг-понгом, создает будущие смайлы, сочиняет наклейки на бамперы и песни и даже несколько раз встречается с президентом. Однако все это время он не может забыть про Дженни, которая уже связала свою жизнь с другим…
",https://www.kinoafisha.info/movies/4162346/
"Терминатор 2: судный день, 1991","боевик, триллер, фантастика, приключения","
Из далекого и жуткого будущего в наши дни прибывают два киборга. Первый терминатор по заданию людей будущего должен охранять от второго терминатора жизнь ничем не примечательного пока мальчишки, которому через двадцать лет суждено возглавить ""освободительное движение"" против компьютерной диктатуры.
",https://www.kinoafisha.info/movies/4089627/
"Истребитель демонов: Поезд «Бесконечный», 2020","боевик, приключения, анимация","
Анимационный фильм от режиссера Харуо Сотодзаки, созданный на основе одноименной манги из серии «Истребитель демонов», является прямым продолжение картины 2019 года.
По сюжету Тандзиро вместе со своими друзьями Незуко, Иноске и Зеницу из отряда уничтожителей демонов садится в поезд, чтобы отправиться на расследование серии загадочных исчезновений внутри мчащегося состава. Вскоре после посадки Тадзиро и всех остальных начинает стремительно клонить в сон. Тем временем один из двенадцати лунных демонов пробрался в поезд и, усыпляя и проникая в сновидения людей, приказывает им убить самих себя.
Тандзиро и его друзья ничего не подозревают об этом и видят счастливые и красочные сны. Так, например, Зеницу снится, как он наконец-то побывал на свидании с Незуко, Иноске видит во сне, как он стал спелеологом и начал исследовать пещеры вместе с Тандзиро, Зеницу и Незуко в качестве своих помощников, а Тандзиро тем временем видит, как у него снова появилась возможность воссоединиться со своей семьей.
Все еще пребывая во сне, Тандзиро начинает постепенно догадываться, что здесь что-то не ладно, и сразу же пытается проснуться, после того как во сне его отец просит Тандзиро покончить с собой. В ужасе он просыпается, пока в это же время Незуко использует свой дар для того, чтобы разбудить оставшихся пассажиров поезда. И пока она будит остальных, Тандзиро будет вынужден столкнуться в поединке с Энму.
Однако, чтобы одолеть настолько сильного и опытного лунного демона, ему понадобится помощь его крепко спящих друзей.
 
 
",https://www.kinoafisha.info/movies/8364450/
"Иван Васильевич меняет профессию, 1973","комедия, фантастика","
Москва, начало 1970-х годов. Во время неудачного эксперимента по запуску машины времени инженер Алескандр Тимофеев падает и теряет сознание. Прийдя в себя, изобретатель с удивлением обнаруживает, что его устройство все же сработало, но совсем не так, как предполагалось: в современную столицу попал никто иной, как Иван Грозный, а его престол в XVI веке занял сосед Шурика по имени Иван Васильевич Бунша.
",https://www.kinoafisha.info/movies/1624187/
"Назад в будущее 3, 1990","приключения, фантастика, вестерн, комедия, боевик","
Оказавшись на мели в 1955 году, Марти МакФлай получает письменное сообщение от своего друга, дока Эммета Брауна, о том, где можно найти машину времени Делориан. Однако вскоре неудачное открытие побуждает Марти пойти на помощь своему другу. Используя машину времени, он отправляется на Старый Запад, где Браун столкнулся с бандой головорезов и влюбился в местную школьную учительницу. Стараясь по полной использовать технологию того времени, Марти и Док изобретают новую машину времени из поезда, но им противостоят кровожадные бандиты…
",https://www.kinoafisha.info/movies/5412783/
"Леон, 1994","драма, триллер, криминал","
Профессиональный убийца Леон, не знающий пощады и жалости, знакомится с двенадцатилетней девочкой-соседкой Матильдой, семью которой расстреливают полицейские, замешанные в торговле наркотиками. Он начинает заботиться о ней и учить своей профессией.
",https://www.kinoafisha.info/movies/3443444/
